l,Business Name,AUM,First Name,Last Name,Role,Linkedin,
https://fluid.io/lending/1,Fluid Lending,"1,712,708,849.72",Vipal ,Karavadra,Founder,https://www.linkedin.com/in/vipalfluid?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAug6u0BHY24uQJfqXynB5W0hI4x42xTqmk&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B0ca39ea3-9526-4fd0-8627-d81f6e997abc,
https://v3-app.compound.finance/,Compound V3,"1,666,126,960.56",,,,,
https://www.sanctum.so,Sanctum Validator LSTs,"1,570,152,436.81",Jaye ,T,Cofounder ,https://www.linkedin.com/in/jayetan?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACETHgABaq-k5QmuNFnvO9zyXGVrCwENoWI&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3Bce9a2322-e938-4c90-a4ad-c566d010f46e,
https://app.venus.io/#/core-pool,Venus Core Pool,"1,536,454,270.06",,,,,
https://ondo.finance,Ondo Yield Assets,"1,514,512,726.69",Nathan ,Allman,Chief Executive Officer,https://www.linkedin.com/in/nathanlallman,
https://ondo.finance,Ondo Yield Assets,"1,514,512,726.69",Brendan ,Florez,Managing Director,https://www.linkedin.com/in/brendanflorez,
https://raydium.io,Raydium AMM,"1,499,196,238.01",,,,,
https://app.lighter.xyz/trade/ETH?referral=FHT1N8AYKHP4,Lighter Bridge,"1,421,120,502.61",,,,,
https://www.steakhouse.financial/,Steakhouse Financial,"1,373,141,961.49",Mark ,Phillips,Co-Founder,https://www.linkedin.com/in/mark-phillips-91210358?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAweJV4BUs605_ka1vgbENxU--Uoz31A0DI&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B78094665-a662-46e1-b3f8-0ed3042ab317,
https://www.steakhouse.financial/,Steakhouse Financial,"1,373,141,961.49",Sébastien ,Derivaux,Owner,https://fr.linkedin.com/in/sebastienderivaux,
https://centrifuge.io,Centrifuge Protocol,"1,341,860,078.84",Martin ,Quensel,Owner,https://de.linkedin.com/in/martinquensel,
https://centrifuge.io,Centrifuge Protocol,"1,341,860,078.84", Lucas ,Vogelsang,Co-Founder,https://ch.linkedin.com/in/lucasvo,
https://www.gauntlet.xyz,Gauntlet,"1,332,645,091.08",John ,Morrow,Chief Operating Officer,https://www.linkedin.com/in/jmomx,
https://www.gauntlet.xyz,Gauntlet,"1,332,645,091.08",Tarun ,Chitra,Chief Executive Officer,https://www.linkedin.com/in/tarunchitra,
https://app.uniswap.org/,Uniswap V2,"1,302,777,397.25",Hayden ,Adams,CEO,https://www.linkedin.com/in/haydenadams,
https://jup.ag/swap/SOL-JupSOL,Jupiter Staked SOL,"1,292,009,527.89",Kash ,Dhanda,COO,https://www.linkedin.com/in/kash-dhanda-03110958?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAweSOUBn23r75geUowN5jyPSxr-Rw0TeMs&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3Bea07ccb6-c344-42f6-91c7-21df3136422e,
https://swissborg.com,SwissBorg,"1,283,500,320.47",Júlia ,Bán,CFO ,https://www.linkedin.com/in/j%C3%BAlia-b%C3%A1n-926317115/,
https://swissborg.com,SwissBorg,"1,283,500,320.47",Cyrus ,Fazel,Founder ,https://www.linkedin.com/in/cyrusfazelmrfintech/,
https://jup.ag/perps,Jupiter Perpetual Exchange,"1,249,187,785.49",Were ,Meow,Founder,https://www.linkedin.com/in/were-meow-4b7a39363/?originalSubdomain=uk,
https://www.binance.com/en/solana-staking,Binance Staked SOL,"1,159,467,164.60",Richard ,Teng,owner,https://ae.linkedin.com/in/richard-teng-3497b527,
https://kerneldao.com/kelp/restake/,Kelp,"1,137,996,564.17",Suryaganesh ,Sastry,Founder,https://in.linkedin.com/in/suryaganesh-sastry-048031a,
https://stakewise.io/,StakeWise V2,"1,129,610,457.50",Kirill ,Kutakov,Co-Founder,https://ee.linkedin.com/in/kirill-kutakov,
https://lista.org/,Lista Liquid Staking,"1,104,175,681.64", Terry ,Huang,Co-Founder,https://tw.linkedin.com/in/terry-huang-347028aa,
https://liquidcollective.io,Liquid Collective,"1,059,456,954.79",Christopher ,Matta,CEO,https://www.linkedin.com/in/christopher-matta,
https://www.fxn.xyz,Function FBTC,"1,051,680,282.17",Thomas ,Chen,CEO,https://www.linkedin.com/in/thomasxchen/,
https://jup.ag/lend,Jupiter Lend,"1,006,227,117.61",Jitendra ,Gupta,founder,https://in.linkedin.com/in/guptajiten,
https://app.solv.finance/solvbtc,SolvBTC,"1,004,828,106.91",Ryan ,Chow,owner,https://hk.linkedin.com/in/ryanchoww,
https://www.lombard.finance,Lombard LBTC,"1,004,422,188.79",Jacob ,Phillips,Cofounder ,https://www.linkedin.com/in/jacob-phillips-32a437108,
https://www.euler.finance,Euler V2,"995,412,753.67",Michael ,Bentley,CEO,https://uk.linkedin.com/in/euler-mab,
https://jup.ag/swap/SOL-JupSOL,Jupiter Staked SOL,"1,292,009,527.89",Xiao-Xiao ,Zhu,President,https://www.linkedin.com/in/xiao-xiao-j-zhu-12078730?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAaFi-gBWJzeZVcNGkadP_wxzr9HvMcAxgI&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3Bea07ccb6-c344-42f6-91c7-21df3136422e,
https://app.concrete.xyz,Concrete,"957,231,455.14",,,,,
https://www.convexfinance.com/,Convex Finance,"955,363,962.98",Mark ,Dalton,Managing Director,https://www.linkedin.com/in/markdaltoncfa/?originalSubdomain=hk,
https://www.m0.org/,M0,"882,956,535.98",Gregory ,Prisco,Co-Founder,https://www.linkedin.com/in/gregory-di-prisco-0672a9125/,
https://www.m0.org/,M1,"882,956,535.98",Andrew ,Khang,COO,https://www.linkedin.com/in/ajkhang?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAtZuVoBbGrVsLWmdLNNqJeHQO2oM7cYLGk&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B3bf0c408-8af7-4850-9694-b1b63b584ee2,
https://korbit.co.kr,Korbit,"859,602,497.40",Iulian ,Serban,"Founder, CEO",https://www.linkedin.com/in/iulian-serban-28365710/?originalSubdomain=ca,
https://korbit.co.kr,Korbit,"859,602,497.40",Ekaterina ,Kochmar,"Co-Founder, CSO",https://www.linkedin.com/in/ekaterina-kochmar-0a655b14/,
https://korbit.co.kr,Korbit,"859,602,497.40",Mathieu ,Germain,Vice President of Artificial Intelligence,https://www.linkedin.com/in/germainmathieu/,
https://usdtb.money,Ethena USDtb,"850,869,599.44",,,,,
https://www.asterdex.com/en/referral/c6eF10,Aster Bridge,"804,205,591.64",,,,,
https://www.bitkub.com/,Bitkub,"801,963,397.49",Atichanan ,Pulges,Co-Founder ,https://www.linkedin.com/in/atichanan?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAhbkV0BPt_kU5BatSFl1A1SFD9fQi0l3IQ&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B2f4aa908-322a-4973-9178-6dd4bc912a94,
https://www.bitkub.com/,Bitkub,"801,963,397.49",Topp ,Srupsrisopa,Founder & Group CEO ,https://www.linkedin.com/in/toppjirayut?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAyjZyUB8VZAFuHQyDGEmRgXR_i2Mi_jfHg&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B2f4aa908-322a-4973-9178-6dd4bc912a94,
https://kinetiq.xyz/stake,Kinetiq kHYPE,"781,625,046.61",,,,,
https://bridge.linea.build,Linea Bridge,"778,820,843.65",Joseph ,Lubin,Founder,https://www.linkedin.com/in/joseph-lubin-48406489/,
https://bridge.linea.build,Linea Bridge,"778,820,843.65",Chris ,McKibbin,COO,https://www.linkedin.com/in/chris-mckibbin-68352/,
https://bridge.linea.build,Linea Bridge,"778,820,843.65",Cole ,D'Ambrosio,CFO,https://www.linkedin.com/in/cole-d-ambrosio-cpa-8b09b545/,
https://starkgate.starknet.io,Starknet Bridge,"753,902,497.97",,,,,
https://bingx.com,BingX,"736,168,086.03",Usman ,Shahid,Chief Executive Officer,https://www.linkedin.com/in/usman-shahid-2ab406371/?originalSubdomain=pk,
https://bingx.com,BingX,"736,168,086.03",Ezekiel ,James,Partner,https://www.linkedin.com/in/ezekiel-james-5b67b0252/,
https://www.methprotocol.xyz/,mETH Protocol,"732,495,689.46",,,,,
https://lista.org/lending,Lista Lending,"718,863,878.69",Terry ,Huang,Co-Founder ,https://www.linkedin.com/in/terry-huang-347028aa?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABcj-ecBeGKjBusOiAgRLH_yECh1p2sEPpg&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B972c12b6-5b84-4056-a953-f798ebcd62d3,
https://lista.org/,Lista CDP,"712,990,653.41",Toru ,Watanabe,Founder and CEO,https://www.linkedin.com/in/toru-watanabe-736741255/?,
https://www.wisdomtreeconnect.com/,WisdomTree,"705,883,463.55",Jonathan ,Steinberg,Founder and CEO,https://www.linkedin.com/in/jono-steinberg/,
https://app.uniswap.org/,Uniswap V4,"681,293,548.00",Brian ,Mark,Partner,https://www.linkedin.com/in/briankmark?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAkVOxgBFfwfv_p6Tcr0tV2rfZ106KlkXgg&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B0fbafda5-51c7-4b1e-a567-80d3b460dff5,
https://www.ether.fi/app/liquid,ether.fi Liquid,"678,530,560.58",Rok ,Kopp,Co-Founder,https://www.linkedin.com/in/rokkopp?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAGyFA0B4H2jKurUJDItHCtDVrLe2x50OtE&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3Bdd428832-463b-4f33-b218-2c13d4073eda,
https://www.ether.fi/app/liquid,ether.fi Liquid,"678,530,560.58",Mike ,Silagadze,CEO,https://www.linkedin.com/in/ethermike?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAB0BzoB9gbLvWHmwTX0wK9PSCjo_O8Sve8&lipi=urn%3Ali%3Apage%3Ad_flagship3_company%3B8yrpsQqGTU2n7HKHDaUJ1A%3D%3D,
https://usd.ai/,USD AI,"677,781,993.99",David ,Choi,co-founder and Chief Executive Officer,https://www.linkedin.com/in/david-choi-a190975b,
https://app.optimism.io/bridge/deposit,Optimism Bridge,"663,426,193.30",Olanrewaju,Samuel ,General Partner,https://www.linkedin.com/in/olanrewaju-samuel-124659290?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAEaTWmwBy4LfHz2S5w8zXElZiw2aQB2PFZA&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B5bc6c50c-eead-4105-866e-e3cead947774,
https://app.optimism.io/bridge/deposit,Optimism Bridge,"663,426,193.30",Bobby ,Dresser,Executive Director,https://www.linkedin.com/in/bobbydresser?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAnt6nwBDk4RAt9vYhep3MzVdzCde75keAU&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B5bc6c50c-eead-4105-866e-e3cead947774,
https://app.renzoprotocol.com/restake,Renzo,"654,544,778.47",,,,,
https://app.drift.trade/ref/defillama,Drift Trade,"626,624,952.20",Cindy ,Leow,Cofounder ,https://www.linkedin.com/in/cindyleowtt?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABpZJEwBkVpJNNjn11SpR292iwLEA4_k7B4&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B16879b35-ee97-436e-aceb-4040769155ef,
https://app.drift.trade/ref/defillama,Drift Trade,"626,624,952.20",Jason ,Quake,Chief Executive Officer,https://www.linkedin.com/in/jason-quake-005338339/?originalSubdomain=uk,
https://superstate.com/,Superstate USTB,"588,283,045.85",Jim ,Hiltner,Co-founder,https://www.linkedin.com/in/jim-hiltner-cfa-87815482/,
https://superstate.com/,Superstate USTB,"588,283,045.85",Dean ,Swennumson,Co-Founder,https://www.linkedin.com/in/dean-swennumson-075798125/,
https://hyperunit.xyz/deposit,Unit,"583,318,001.20",,,,,
https://symbiotic.fi,Symbiotic,"582,732,723.05",Misha ,Putiatin,co-Founder ,https://www.linkedin.com/in/misha-putiatin-6a34b584?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABHfEJsBNwgP7QPmXoW5AaMTrIjb4jX6K1Y&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B5df54c18-fafe-43e9-a3a1-63505a2ac51f,
https://indodax.com/,Indodax,"581,918,506.07",Oscar ,Darmawan,Cofounder and Chairman,https://www.linkedin.com/in/oscardarmawan?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAA03k6ABMfk2KgarPm0E5VLKmb6qEHPfcT4&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B664b225e-e21d-4acc-90f2-86f8569afbd5,
https://indodax.com/,Indodax,"581,918,506.07",Fendy ,Tan,Chief Financial Officer,https://www.linkedin.com/in/fendy-tan-6834a7172?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACkB7QMBLXd8Xw1A19LPxFbtiJmlrFuwJ2s&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B664b225e-e21d-4acc-90f2-86f8569afbd5,
https://core.app/bridge/,Avalanche Core Bridge,"556,971,016.85",Emin ,Sirer,Founder and CEO,https://www.linkedin.com/in/emin-gun-sirer-0a921a4,
https://merlinchain.io/bridge/staking,Merlins Seal,"556,074,439.84",,,,,
https://threshold.network/,tBTC,"555,595,077.47",,,,,
https://staderlabs.com,Stader,"555,239,224.21",Amitej ,Gajjala,CEO,https://www.linkedin.com/in/amitej-gajjala,
https://www.spiko.io/,Spiko,"545,836,215.18",Paul,Hyppolite ,Co-Founder,https://www.linkedin.com/in/paul-adrien-hyppolite-71217ab4?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABg6yn4B1nUxt1kui4UXF81px4EXGNkaW20&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B35c3d184-9d4c-40a4-8baf-5d049fdb9112,
https://www.spiko.io/,Spiko,"545,836,215.18",Antoine ,Michon,Co-Founder ,https://www.linkedin.com/in/antoine-michon?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAA8JSycBZVQ10ptjjq_vwmybdU85BNSZL0Q&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3B35c3d184-9d4c-40a4-8baf-5d049fdb9112,
https://free.tech/,Free Protocol,"538,979,456.59",,,,,
https://world.org/,World Chain,"524,522,359.00",Patricia ,Cookson,Chief Financial Officer,https://www.linkedin.com/in/patricia-cookson-222132341?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAFWgXboBRf6uMC4UYn3fahWNqzTNzuIq5XU&lipi=urn%3Ali%3Apage%3Acompanies_company_people_index%3Be0762767-a8dd-4200-8316-1de62971cc9c,
https://world.org/,World Chain,"524,522,359.00",Max ,Novendstern,Founder,https://www.linkedin.com/in/maxnovendstern/,
https://www.matrixport.com/nexusbtc,Nexus BTC,"516,338,187.14",John ,Ge,Co-Founder & CEO,https://www.linkedin.com/in/yuesheng-ge-6aaa3b1a4/,
https://www.matrixport.com/nexusbtc,Nexus BTC,"516,338,187.14",Cynthia ,Wu,Founding Partner & COO,https://www.linkedin.com/in/cynthia-wu-5a602617/,
http://www.bedrockcap.com/,Bedrock,"501,768,196.49",Thomas  ,O'Leary,CFO ,https://www.linkedin.com/in/thomas-o-leary-b7a54a55/,
https://www.lorenzo-protocol.xyz,Lorenzo,"497,163,094.93",Fan ,Sang,Co-Founder & CTO,https://www.linkedin.com/in/fan-sang/,
https://www.lorenzo-protocol.xyz,Lorenzo,"497,163,094.93",Tad ,Tobar,COO,linkedin.com/in/tadtobar/,
https://www.avalonfinance.xyz,Avalon,"489,952,167.56",Venus ,Li,Co-Founder,https://www.linkedin.com/in/venuslimiss/,
https://app.meteora.ag/,Meteora DLMM,"478,316,665.04",Ben ,Chow,Co-Founder,https://www.linkedin.com/in/hellochow/,
http://www.bedrockcap.com/,Bedrock,"501,768,196.49",Geoff  ,Lewis,Founder & Managing Partner,https://www.linkedin.com/in/geofflewis1/,
https://lightning.network/,Lightning Network,"477,329,176.11",,,,,
https://marinade.finance,Marinade Liquid Staking,"476,707,667.81",Andrea ,Horakova,Director,https://www.linkedin.com/in/nick-scannella/,
https://marinade.finance,Marinade Liquid Staking,"476,707,667.81",Michael ,Repetny,Co-Founder & CEO,http://www.linkedin.com/in/repetny,
https://phemex.com,Phemex,"472,344,651.93",Stella ,Chan,Co-Founder,https://www.linkedin.com/in/stellar1028/,
https://phemex.com,Phemex,"472,344,651.93",Federico ,Variola,CEO ,https://www.linkedin.com/in/federico-variola-17b252182/,
https://cian.app,CIAN Yield Layer,"470,586,672.14",,,,,
https://app.upshift.finance/r/8feeeF621Ee3,Upshift,"460,832,298.76",Jouni ,Vesterlund,Owner,https://www.linkedin.com/in/jouni-vesterlund-47655253/,
https://quickswap.exchange/,Quickswap Dex,"451,599,066.22",Roc,Zacharias,Co-Founder,https://www.linkedin.com/in/roc-zacharias-909947116,
https://www.bsquared.network,B2 Buzz,"449,321,217.09",Kobe  ,Lai,Director ,https://www.linkedin.com/in/kobe-lai-12822b6a/,
https://yearn.fi/,Yearn Finance,"431,057,476.97",,,,,
https://portal.bouncebit.io/,BounceBit CeDeFi Yield,"421,663,442.82",Joe ,Huang,Director ,https://www.linkedin.com/in/joehuang21/,
https://ondo.finance,Ondo Global Markets,"408,747,966.23",Nathan ,Allman,Chief Executive Officer,https://www.linkedin.com/in/nathanlallman,
https://ondo.finance,Ondo Global Markets,"408,747,966.23",Brendan ,Florez,Managing Director,linkedin.com/in/brendanflorez,
https://resolv.xyz/,Resolv,"407,364,771.37",Ivan ,Kozlov,Co-Founder,http://www.linkedin.com/in/iv4nko,
https://resolv.xyz/,Resolv,"407,364,771.37",Tim ,Shekikhachev,Co-Founder,http://www.linkedin.com/in/timur-shekikhachev,
https://pro.edgex.exchange/referral/196451583,edgeX Bridge,"402,248,893.17",Christina ,X,edgeX co founder,https://www.linkedin.com/in/christina-x-455570243/,
https://www.coinbase.com/price/coinbase-wrapped-staked-eth,Coinbase Wrapped Staked ETH,"400,600,424.74",Denise ,Pollock,Owner,https://www.linkedin.com/in/denise-pollock-19916a1b0/,
https://www.coinbase.com/price/coinbase-wrapped-staked-eth,Coinbase Wrapped Staked ETH,"400,600,424.74",Safwaan ,Mir,CEO ,https://www.linkedin.com/in/safwaanmir/,
https://sentora.com/,Sentora,"400,563,753.90",Pedro ,Negron,Director,https://www.linkedin.com/in/pedro-negron-7b3912166/,
https://sentora.com/,Sentora,"400,563,753.90",Alfredo ,Terrero,CFO ,https://www.linkedin.com/in/alfredoterrero/,
https://nexo.com/,Nexo,"400,500,130.97",Michael ,Assor,CEO ,https://www.linkedin.com/in/michael-assor-a81a4730b/,
https://nexo.com/,Nexo,"400,500,130.97",Alex ,Kuzmanov,Founder ,https://www.linkedin.com/in/alex-kuzmanov/,
https://hyperfoundation.org,Hyperliquid HLP,"400,183,970.43",Anthony ,Bassenden,Founder ,https://www.linkedin.com/in/anthony-bassenden-74a288350/,
https://docs.stacks.co/concepts/sbtc/clarity-contracts/sbtc-deposit,Stacks sBTC,"395,682,388.81",Albert ,Wenger,Managing Partner,https://www.linkedin.com/in/albertwenger/,
https://docs.stacks.co/concepts/sbtc/clarity-contracts/sbtc-deposit,Stacks sBTC,"395,682,388.81",Matt ,O'Connor,Founder ,https://www.linkedin.com/in/mattroconnor/,
https://mevcapital.com,MEV Capital,"395,267,684.09",Marien ,Irzykiewicz,Partner,http://www.linkedin.com/in/irzykiewicz,
https://mevcapital.com,MEV Capital,"395,267,684.09",Laurent ,Bourquin,Co-Founder,http://www.linkedin.com/in/laurentbourquin,
https://gmxsol.io/,GMX Perps,"391,853,163.30",,,,,
https://usdd.io/,USDD,"390,236,260.54",,,,,
https://www.lombard.finance/products-btcb/,Lombard BTC.b,"387,733,630.18",Jacob ,Phillips,Cofounder,http://www.linkedin.com/in/jacob-phillips-32a437108,
https://www.lombard.finance/products-btcb/,Lombard BTC.b,"387,733,630.18",Olivia ,Thet,Director,http://www.linkedin.com/in/oliviathet,
https://app.aave.com/markets/?marketName=proto_horizon_v3,Aave Horizon RWA,"375,845,800.02",Chef ,Drew,Director ,https://www.linkedin.com/in/chef-drew-769222300/,
https://app.aave.com/markets/?marketName=proto_horizon_v3,Aave Horizon RWA,"375,845,800.02",Meilough ,Gonzales,President | Founder,https://www.linkedin.com/in/meilough-gonzales-42ba9b2b4/,
https://bridge.coredao.org/,Core Bitcoin Bridge,"374,410,744.48",CJ ,Reim,Co-Founder,https://www.linkedin.com/in/cjreim/,
https://bridge.coredao.org/,Core Bitcoin Bridge,"374,410,744.48",Eze ,Stanley,Co-founder,https://www.linkedin.com/in/eze-stanley-business-development-manager/,
https://www.orca.so,Orca DEX,"372,640,341.80",Ori ,Kwan,Co-Founder,http://www.linkedin.com/in/orikwan,
https://www.orca.so,Orca DEX,"372,640,341.80",Isaac,Kim,Chief Operating Officer,http://www.linkedin.com/in/isaac-j-kim-48b9b455,
https://app.plasma.to/,Plasma Saving Vaults,"364,391,663.10",Hans Walter,Behrens,CTO,https://www.linkedin.com/in/hwbehrens/,
https://tydro.com/,Tydro,"359,927,061.83",,,,,
https://cap.app/,cap,"350,011,092.41",Benjamin Sarquis,Peillard,Founder ,linkedin.com/in/benjaminsarquispeillard/,
https://app.hyperlend.finance/?ref=DEFILLAMA,HyperLend Pooled,"345,847,027.54",,,,,
https://www.unirouter.io,UniRouter,"342,791,194.32",,,,,
https://compound.finance,Compound,"339,618,470.26",Romeen ,Sheth,Co-Founder,https://www.linkedin.com/in/romeen-sheth-07494427/,
https://compound.finance,Compound,"339,618,470.26",Alex Farman-,Farmaian,Co-Founder / CEO,https://www.linkedin.com/in/aff/,
https://superstate.com/,Superstate,"336,033,900.24",Reid ,Cuming,Founder,https://www.linkedin.com/in/reidcuming/,
https://superstate.com/,Superstate,"336,033,900.24","Jim Hiltner, ",CFA,Co-founder,https://www.linkedin.com/in/jim-hiltner-cfa-87815482/,
https://www.gnosis.io/,xDAI Stake Bridge,"333,654,692.55",Martin  ,Koeppelmann,CEO ,https://www.linkedin.com/in/koeppelmann/,
https://app.benqi.fi/savax,Benqi Staked Avax,"331,712,956.32",Hannu ,Kuusi,Co-Founder,http://www.linkedin.com/in/hannu6,
https://app.benqi.fi/savax,Benqi Staked Avax,"331,712,956.32",Dexter,Lee,Co-Founder,https://www.linkedin.com/in/dexterleetc,
https://www.gnosis.io/,xDAI Stake Bridge,"333,654,692.55",Stefan  ,George,Co-Founder and CTO ,https://pt.linkedin.com/in/stefangeorge,
https://www.gnosis.io/,xDAI Stake Bridge,"333,654,692.55",Faisal  ,Alnajdawi,Partner ,https://ae.linkedin.com/in/faisal-alnajdawi-8966b2160,
http://paycashglobal.com/,PayCash,"329,459,853.32",Juan  ,Andrade ,CEO ,https://www.linkedin.com/in/juan-antonio-andrade-hdz-2483102b/,
https://solstice.finance/,Solstice USX,"326,733,749.13",Ben ,Nadareski,Co-Founder,https://www.linkedin.com/in/benjaminnadareski/,
https://solstice.finance/,Solstice USX,"326,733,749.13",Tim ,Grant,CEO ,https://www.linkedin.com/in/tim-j-grant/,
https://k3.capital,K3 Capital,"322,827,200.86",Kiril ,Nikolov,Co-founder,,
https://k3.capital,K3 Capital,"322,827,200.86",Simeon .,R,Chief Investment Officer,https://www.linkedin.com/in/srusanov/,
https://www.figuremarkets.com/,Figure Markets Exchange,"322,285,372.61",Ian ,Cady,Director ,https://www.linkedin.com/in/ian-cady-a5b426a2/,
https://www.figuremarkets.com/,Figure Markets Exchange,"322,285,372.61",Annie ,Rizzo,Director,https://www.linkedin.com/in/annierizzo/,
https://app.zircuit.com/liquidity-hub,Zircuit Staking,"312,059,701.23",Martin ,Derka,Co-Founder,https://www.linkedin.com/in/mderka/,
https://app.zircuit.com/liquidity-hub,Zircuit Staking,"312,059,701.23",Angel ,Xu,Co-Founder,https://www.linkedin.com/in/angel-x/,
https://www.bitfi.one,BitFi Basis,"311,033,977.77",Han ,Liu,Founder and CEO,https://www.linkedin.com/in/han-liu-5a354929/,
https://www.bitrue.com,Bitrue,"304,653,166.24",Iris ,Chu,Director,http://www.linkedin.com/in/irischu,
https://www.bitrue.com,Bitrue,"304,653,166.24",Keito ,Kujime,CEO,http://www.linkedin.com/in/keito-kujime-133454163,
https://www.methprotocol.xyz/,mETH Protocol,"293,473,085.14",,,,,
https://backpack.exchange,Backpack,"284,863,246.70",salahuddin ,khan,CO Founder,https://www.linkedin.com/in/salahuddin-khan-675596242/,
https://backpack.exchange,Backpack,"284,863,246.70",Aiga ,Krigere,Backpack Latvia CEO,https://www.linkedin.com/in/aiga-krigere/,
