coin_id,symbol,name,snapshot_date,price_usd,market_cap_usd,total_volume_usd,market_cap_rank
polygon-ecosystem-token,pol,POL (ex-MATIC),2026-03-27,0.090472,960603742,76779210,66
eutbl,eutbl,Spiko EU T-Bills Money Market Fund,2026-03-27,1.21,949131719,0.0,67
kaspa,kas,Kaspa,2026-03-27,0.03446003,940417111,22077552,68
usdtb,usdtb,USDtb,2026-03-27,0.999513,877529102,4044116,69
nexo,nexo,NEXO,2026-03-27,0.864916,864961096,17775452,70
render-token,render,Render,2026-03-27,1.65,855107184,64307763,71
cosmos,atom,Cosmos Hub,2026-03-27,1.67,834053210,35527597,72
morpho,morpho,Morpho,2026-03-27,1.48,814655023,16588753,73
worldcoin-wld,wld,Worldcoin,2026-03-27,0.260896,809918971,174202219,74
usdd,usdd,USDD,2026-03-27,0.999306,790472482,5890553,75
aptos,apt,Aptos,2026-03-27,0.976025,774665989,65993475,76
ethena,ena,Ethena,2026-03-27,0.08953,760303335,102217278,77
midnight-3,night,Midnight,2026-03-27,0.04541217,754036717,838937520,78
superstate-short-duration-us-government-securities-fund-ustb,ustb,Superstate Short Duration U.S. Government Securities Fund (USTB),2026-03-27,11.03,741805324,0.0,79
algorand,algo,Algorand,2026-03-27,0.081075,720886592,22651452,80
official-trump,trump,Official Trump,2026-03-27,2.99,694548587,101208108,81
flare-networks,flr,Flare,2026-03-27,0.00766877,654744815,3154868,82
filecoin,fil,Filecoin,2026-03-27,0.833713,636684259,89879216,83
beldex,bdx,Beldex,2026-03-27,0.083128,632121756,13572372,84
ousg,ousg,OUSG,2026-03-27,114.73,621222444,0.0,85
xdce-crowd-sale,xdc,XDC Network,2026-03-27,0.03083802,614703350,18124501,86
ylds,ylds,YLDS,2026-03-27,0.999965,592400261,2007948,87
gho,gho,GHO,2026-03-27,0.998859,583306100,21500277,88
vechain,vet,VeChain,2026-03-27,0.00666151,572720614,16933990,89
usual-usd,usd0,Usual USD,2026-03-27,0.999909,561384498,18724.52,90
stable-2,stable,​​Stable,2026-03-27,0.0262287,557489748,22171003,91
siren-2,siren,Siren,2026-03-27,0.746557,548496957,72922441,92
arbitrum,arb,Arbitrum,2026-03-27,0.090013,543396057,47851906,93
hash-2,hash,Provenance Blockchain,2026-03-27,0.00948678,532845637,55647,94
just,jst,JUST,2026-03-27,0.059341,523046962,32075736,95
fetch-ai,fet,Artificial Superintelligence Alliance,2026-03-27,0.227938,514641056,97566450,96
layerzero,zro,LayerZero,2026-03-27,2.01,506180425,77679423,97
bonk,bonk,Bonk,2026-03-27,5.72e-06,503329432,40458553,98
jupiter-exchange-solana,jup,Jupiter,2026-03-27,0.1413,494301610,19526276,99
true-usd,tusd,TrueUSD,2026-03-27,0.997551,493287588,8433451,100
a7a5,a7a5,A7A5,2026-03-27,0.01215825,476569151,3217.8,101
fasttoken,ftn,Fasttoken,2026-03-27,1.088,471911476,67078,102
pancakeswap-token,cake,PancakeSwap,2026-03-27,1.36,446275629,35346204,103
virtual-protocol,virtual,Virtuals Protocol,2026-03-27,0.656908,430831303,72835701,104
euro-coin,eurc,EURC,2026-03-27,1.15,424093443,32140618,105
blockstack,stx,Stacks,2026-03-27,0.223942,411019893,7868257,106
pudgy-penguins,pengu,Pudgy Penguins,2026-03-27,0.00650537,408770057,86438836,107
dash,dash,Dash,2026-03-27,31.73,401178141,53225194,108
first-digital-usd,fdusd,First Digital USD,2026-03-27,0.998798,398150819,24973804,109
janus-henderson-anemoy-aaa-clo-fund,jaaa,Janus Henderson Anemoy AAA CLO Fund,2026-03-27,1.028,396605008,0.0,110
tezos,xtz,Tezos,2026-03-27,0.349854,377791682,12546639,111
sei-network,sei,Sei,2026-03-27,0.054856,369467897,39861295,112
ether-fi,ethfi,Ether.fi,2026-03-27,0.465941,366808373,153801227,113
chiliz,chz,Chiliz,2026-03-27,0.03550703,364709423,53373943,114
hastra-prime,prime,PRIME,2026-03-27,1.025,359414394,510375,115
decred,dcr,Decred,2026-03-27,20.57,356585632,2919504,116
usx,usx,USX,2026-03-27,0.99937,352172088,220177,117
kinesis-gold,kau,Kinesis Gold,2026-03-27,145.06,346134333,236514,118
dexe,dexe,DeXe,2026-03-27,7.34,342942480,12571534,119
kite-2,kite,Kite,2026-03-27,0.184616,332270082,73929714,120
sun-token,sun,Sun Token,2026-03-27,0.01710104,328763659,87720683,121
apenft,nft,AINFT,2026-03-27,3.28834e-07,325578402,9206388,122
adi-token,adi,ADI,2026-03-27,4.05,324056587,1044329,123
curve-dao-token,crv,Curve DAO,2026-03-27,0.212387,317127439,58445517,124
bittorrent,btt,BitTorrent,2026-03-27,3.17117e-07,312908313,10346900,125
usdai,usdai,USDai,2026-03-27,0.999731,311361426,2156347,126
gnosis,gno,Gnosis,2026-03-27,117.61,310440113,3356185,127
conflux-token,cfx,Conflux,2026-03-27,0.057399,297873872,13688562,128
aerodrome-finance,aero,Aerodrome Finance,2026-03-27,0.31802,295218562,8961805,129
injective-protocol,inj,Injective,2026-03-27,2.87,287168545,50034652,130
frax,frax,Legacy Frax Dollar,2026-03-27,0.99258,273878232,7818723,131
kaia,kaia,Kaia,2026-03-27,0.04684653,273856705,9484438,133
bitcoin-cash-sv,bsv,Bitcoin SV,2026-03-27,13.66,273408919,8906859,132
celestia,tia,Celestia,2026-03-27,0.299676,268459091,33788190,134
floki,floki,FLOKI,2026-03-27,2.775e-05,267821133,21826302,135
jasmycoin,jasmy,JasmyCoin,2026-03-27,0.00539205,266573902,24505600,136
kinesis-silver,kag,Kinesis Silver,2026-03-27,70.38,265843394,1592246,137
crvusd,crvusd,crvUSD,2026-03-27,0.997363,263219786,30146998,138
venice-token,vvv,Venice Token,2026-03-27,5.83,262328538,16647269,140
official-fo,fo,Official FO,2026-03-27,0.262872,262228943,277850,139
the-graph,grt,The Graph,2026-03-27,0.02372661,255443658,13590732,141
lido-dao,ldo,Lido DAO,2026-03-27,0.300017,254808711,48260444,142
spx6900,spx,SPX6900,2026-03-27,0.273569,254659122,4939381,143
ape-and-pepe,apepe,Ape and Pepe,2026-03-27,1.19e-06,249986024,25201502,144
river,river,River,2026-03-27,12.62,247038122,40316731,145
doublezero,2z,DoubleZero,2026-03-27,0.070332,244113537,5087131,146
olympus,ohm,Olympus,2026-03-27,15.46,241942044,102539,147
monad,mon,Monad,2026-03-27,0.02221503,240617241,46996487,148
iota,iota,IOTA,2026-03-27,0.054796,238573120,6750878,149
syrup,syrup,Maple Finance,2026-03-27,0.205931,238071730,7755828,150
btse-token,btse,BTSE Token,2026-03-27,1.44,234025150,2638352,151
the9bit,9bit,The9bit,2026-03-27,0.02730503,223676470,951337,152
lighter,lit,Lighter,2026-03-27,0.883863,221274608,29494049,153
zebec-network,zbcn,Zebec Network,2026-03-27,0.00225643,220989576,6705761,154
optimism,op,Optimism,2026-03-27,0.103498,219290032,54953738,155
undeads-games,uds,Undeads Games,2026-03-27,1.75,217422883,170710,156
usda-2,usda,USDa,2026-03-27,0.9835,217056419,2.21,157
ethereum-name-service,ens,Ethereum Name Service,2026-03-27,5.65,216800472,17232581,158
agora-dollar,ausd,AUSD,2026-03-27,0.999627,216375315,26935182,159
pyth-network,pyth,Pyth Network,2026-03-27,0.03756841,215890637,18046184,160
helium,hnt,Helium,2026-03-27,1.17,215839227,3056725,161
plasma,xpl,Plasma,2026-03-27,0.088234,209176082,45927957,162
blockchain-capital,bcap,Blockchain Capital,2026-03-27,22.89,208576221,0.0,163
build-on,b,BUILDon,2026-03-27,0.206134,205884096,4230481,164
telcoin,tel,Telcoin,2026-03-27,0.00211147,200757037,1241112,165
terra-luna,lunc,Terra Luna Classic,2026-03-27,3.63e-05,198236832,8469470,166
story-2,ip,Story,2026-03-27,0.561124,197220138,37747570,167
the-sandbox,sand,The Sandbox,2026-03-27,0.073205,195181233,23193751,168
pendle,pendle,Pendle,2026-03-27,1.17,194533526,20863177,169
chain-2,xcn,Onyxcoin,2026-03-27,0.00513776,192750294,15724519,170
starknet,strk,Starknet,2026-03-27,0.03386691,191332746,16959646,171
newton-project,ab,AB,2026-03-27,0.00193645,191094258,5362353,172
tradable-na-rent-financing-platform-sstn,pc0000031,Tradable NA Rent Financing Platform SSTN,2026-03-27,1.0,189500000,0.0,173
vision-3,vsn,Vision,2026-03-27,0.05162,188817535,12680316,175
trust-wallet-token,twt,Trust Wallet,2026-03-27,0.453115,188750072,9455699,174
axie-infinity,axs,Axie Infinity,2026-03-27,1.1,186889442,56014111,176
re-protocol-reusd,reusd,Re Protocol reUSD,2026-03-27,1.068,186367729,2477368,177
nusd-2,nusd,Neutrl USD,2026-03-27,0.998913,185264286,884718,178
swissborg,borg,SwissBorg,2026-03-27,0.185668,182289710,402982,179
neo,neo,NEO,2026-03-27,2.58,182149240,7121381,180
spiko-us-t-bills-money-market-fund,ustbl,Spiko US T-Bills Money Market Fund,2026-03-27,1.078,178475179,49.95,181
reallink,real,RealLink,2026-03-27,0.056016,177456250,4423781,182
compound-governance-token,comp,Compound,2026-03-27,18.35,176677801,45376415,183
wefi,wfi,WeFi,2026-03-27,2.14,174856249,396026,184
dogwifcoin,wif,dogwifhat,2026-03-27,0.172077,171909817,60505699,185
fartcoin,fartcoin,Fartcoin,2026-03-27,0.168694,168524355,60175653,186
falcon-finance-ff,ff,Falcon Finance,2026-03-27,0.071597,167537814,7811325,187
fidelity-digital-interest-token,fdit,Fidelity Digital Interest Token,2026-03-27,1.0,166677017,0.0,188
zksync,zk,ZKsync,2026-03-27,0.01730224,166184189,13039865,189
mx-token,mx,MX,2026-03-27,1.79,164060402,9240805,190
bnb48-club-token,koge,KOGE,2026-03-27,47.96,162122262,24452291,191
grass,grass,Grass,2026-03-27,0.298895,161999238,11285001,192
satoshi-stablecoin,satusd,Satoshi Stablecoin,2026-03-27,0.992262,158028423,111195,193
decentraland,mana,Decentraland,2026-03-27,0.081129,156986648,12801553,194
walrus-2,wal,Walrus,2026-03-27,0.069771,156386028,10678859,195
humanity,h,Humanity,2026-03-27,0.084437,154895730,11167734,196
convex-finance,cvx,Convex Finance,2026-03-27,1.68,154125907,8297952,197
theta-token,theta,Theta Network,2026-03-27,0.153678,153635032,8395073,198
sonic-3,s,Sonic,2026-03-27,0.04038375,152842894,12859864,199
raydium,ray,Raydium,2026-03-27,0.565462,151962880,12812478,200
flying-tulip,ft,Flying Tulip,2026-03-27,0.095895,151784518,172886,201
stasis-eurs,eurs,STASIS EURO,2026-03-27,1.22,151433716,140480,202
zano,zano,Zano,2026-03-27,9.93,151113470,1590932,203
gusd,gusd,GUSD,2026-03-27,0.999748,149728744,1159543,204
onyc,onyc,Onchain Yield Coin,2026-03-27,1.087,142626607,8570746,205
safepal,sfp,SafePal,2026-03-27,0.283549,141773971,2226873,206
basic-attention-token,bat,Basic Attention,2026-03-27,0.094686,141609142,29297318,207
ultima,ultima,Ultima,2026-03-27,3720.7,140522870,9367799,208
gala,gala,GALA,2026-03-27,0.00295297,140353130,22634219,209
jito-governance-token,jto,Jito,2026-03-27,0.305945,138337230,16294850,210
thorchain,rune,THORChain,2026-03-27,0.392522,137767075,27913982,211
golem,glm,Golem,2026-03-27,0.134318,134314816,6964618,212
banana-for-scale-2,bananas31,Banana For Scale,2026-03-27,0.01330282,132953277,19978448,213
ecash,xec,eCash,2026-03-27,6.64e-06,132816401,3665900,214
theo-short-duration-us-treasury-fund,thbill,Theo Short Duration US Treasury Fund,2026-03-27,1.017,131959741,239948,215
aethir,ath,Aethir,2026-03-27,0.00716266,131545702,20913479,216
apollo-diversified-credit-securitize-fund,acred,Apollo Diversified Credit Securitize Fund,2026-03-27,1091.17,130724773,0.0,217
chutes,sn64,Chutes,2026-03-27,28.06,130613077,5495263,218
circle-internet-group-ondo-tokenized-stock,crclon,Circle Internet Group (Ondo Tokenized Stock),2026-03-27,93.3,129446079,3584004,219
instadapp,fluid,Fluid,2026-03-27,1.64,128600096,2943197,221
origintrail,trac,OriginTrail,2026-03-27,0.28735,128464758,6768851,220
avant-usd,avusd,Avant USD,2026-03-27,0.99925,126568132,83942,222
qubic-network,qubic,Qubic,2026-03-27,9.21348e-07,125865977,2524888,223
sosovalue,soso,SoSoValue,2026-03-27,0.39735,123967885,2762696,224
akash-network,akt,Akash Network,2026-03-27,0.473668,123944050,11807905,226
gmt-token,gomining,GoMining Token,2026-03-27,0.305802,123916862,12736950,225
immutable-x,imx,Immutable,2026-03-27,0.144964,123738306,17147174,227
ozone-chain,ozo,Ozone Chain,2026-03-27,0.129322,123411238,213013,228
astherus-usdf,usdf,Aster USDF,2026-03-27,0.997308,122806315,207669,229
1inch,1inch,1INCH,2026-03-27,0.087567,122318579,38947887,230
frax-usd,frxusd,Frax USD,2026-03-27,0.99924,122045041,14504557,231
shuffle-2,shfl,Shuffle,2026-03-27,0.313296,121812669,2260344,232
vaulta,a,Vaulta,2026-03-27,0.074501,121548385,11856893,233
gekko,gekko,GEKKO,2026-03-27,6.03055e-07,120402740,67957,234
cash-4,cash,CASH,2026-03-27,0.9969,120146675,7782597,235
pleasing-usd,pusd,Pleasing USD,2026-03-27,0.988819,118658338,0.0,236
infinifi-usd,iusd,InfiniFi USD,2026-03-27,0.999733,118133953,667106,237
sentient,sent,Sentient,2026-03-27,0.0163627,118110817,17989966,238
pieverse,pieverse,Pieverse,2026-03-27,0.54035,116152347,3372381,239
eigenlayer,eigen,EigenCloud (prev. EigenLayer),2026-03-27,0.17693,114645672,17417433,240
tradable-singapore-fintech-ssl-2,pc0000023,Tradable Singapore Fintech SSL,2026-03-27,1.0,114500000,0.0,241
lombard-protocol,bard,Lombard,2026-03-27,0.37739,113898814,31342046,242
elrond-erd-2,egld,MultiversX,2026-03-27,3.82,113078948,10248141,243
seeker,skr,Seeker,2026-03-27,0.01847708,112086850,5810918,244
wemix-token,wemix,WEMIX,2026-03-27,0.241284,111559839,1194833,245
arweave,ar,Arweave,2026-03-27,1.7,111394637,18567094,246
impossible-cloud-network-token,icnt,Impossible Cloud Network Token,2026-03-27,0.435835,110220060,7206003,247
cow-protocol,cow,CoW Protocol,2026-03-27,0.194959,109148142,6835964,249
melania-meme,melania,Melania Meme,2026-03-27,0.114522,109110627,16495064,248
ribbita-by-virtuals,tibbir,Ribbita by Virtuals,2026-03-27,0.108842,108831391,1449238,250
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,2026-03-27,1.15,107200309,9856725,251
tokenize-xchange,tkx,Tokenize Xchange,2026-03-27,1.33,106612189,1769.95,252
templar,sn3,τemplar,2026-03-27,25.34,106295375,6358370,253
securitize-tokenized-aaa-clo-fund,stac,Securitize Tokenized AAA CLO Fund,2026-03-27,1008.91,106036614,0.0,254
reserve-rights-token,rsr,Reserve Rights,2026-03-27,0.0016599,103830604,11829203,255
livepeer,lpt,Livepeer,2026-03-27,2.09,103623594,10940759,256
berachain-bera,bera,Berachain,2026-03-27,0.447591,102727766,17679095,257
bitmart-token,bmx,BitMart,2026-03-27,0.301857,102453920,9555841,258
mnee-usd-stablecoin,mnee,MNEE USD Stablecoin,2026-03-27,0.999295,100326850,139879,259
ring-usd,usdr,Ring USD,2026-03-27,0.99898,100297594,10842.51,260
zero-gravity,0g,0G,2026-03-27,0.470036,100211542,8995693,261
unity-usd,uusd,Unity USD,2026-03-27,1.0,99951096,997062,262
gas,gas,Gas,2026-03-27,1.53,99579087,3043782,265
standx-dusd,dusd,StandX DUSD,2026-03-27,0.998496,99526382,1779516,263
precious-metals-usd,pmusd,Precious Metals USD,2026-03-27,0.991848,99345908,417994,264
usdu,usdu,USDu,2026-03-27,0.999714,98735692,570339,266
cap-usd,cusd,Cap USD,2026-03-27,1.005,97971846,808.3,267
havven,snx,Synthetix,2026-03-27,0.277158,95531041,13618128,268
nxm,nxm,Nexus Mutual,2026-03-27,51.7,95508913,0.0,269
four,form,Four,2026-03-27,0.246754,94217279,3091809,270
midas-mf-one,mf-one,Midas mF-ONE,2026-03-27,1.07,93696155,0.0,271
rollbit-coin,rlb,Rollbit Coin,2026-03-27,0.054298,93347449,512253,272
amp-token,amp,Amp,2026-03-27,0.00110408,93054272,5532736,273
zencash,zen,Horizen,2026-03-27,5.18,93001506,10994384,274
xdai,xdai,XDAI,2026-03-27,0.999809,92399938,272336,275
quantum-resistant-ledger,qrl,Quantum Resistant Ledger,2026-03-27,1.17,91799484,102658,276
kaito,kaito,KAITO,2026-03-27,0.379833,91665488,12239808,277
stp-network,awe,AWE Network,2026-03-27,0.04674057,90782578,2762773,278
grx-chain,grx,GRX Chain,2026-03-27,9.49,90228397,19109879,279
vicicoin,vcnt,ViciCoin,2026-03-27,18.38,89130251,473025,280
ravencoin,rvn,Ravencoin,2026-03-27,0.00551777,89097382,10150392,281
usda-3,usda,USDA,2026-03-27,0.996013,88453864,556655,284
yearn-finance,yfi,yearn.finance,2026-03-27,2473.0,88383912,5997190,282
pleasing-gold,pgold,Pleasing Gold,2026-03-27,4526.04,88280314,0.0,283
brz,brz,Brazilian Digital,2026-03-27,0.189627,87958225,85305,285
targon,sn4,Targon,2026-03-27,19.87,87577802,7007280,286
cheems-token,cheems,Cheems Token,2026-03-27,4.26194e-07,86802232,1175711,287
qtum,qtum,Qtum,2026-03-27,0.816284,86516129,5407666,288
lovebit,lb,LoveBit,2026-03-27,2.05329e-07,86238095,36223,289
jusd,jusd,JUSD,2026-03-27,0.999209,86142976,137363,290
apecoin,ape,ApeCoin,2026-03-27,0.087143,85819318,34947922,291
ini,ini,INI,2026-03-27,0.107835,84979137,475351,292
theta-fuel,tfuel,Theta Fuel,2026-03-27,0.01165122,84713960,2434543,293
wormhole,w,Wormhole,2026-03-27,0.0150619,84257950,16188112,294
0x,zrx,0x Protocol,2026-03-27,0.098949,83946665,8370748,295
derive,drv,Derive,2026-03-27,0.083122,83075749,540105,296
jupusd,jupusd,JupUSD,2026-03-27,0.998923,82580279,1259971,297
centrifuge-2,cfg,Centrifuge,2026-03-27,0.143124,82523224,113809429,298
beam-2,beam,Beam,2026-03-27,0.00166481,82354837,5810512,299
loaded-lions,lion,Loaded Lions,2026-03-27,0.00263867,80825128,762549,300
oasis-network,rose,Oasis,2026-03-27,0.01062864,80265290,5449464,302
mag7-ssi,mag7.ssi,MAG7.ssi,2026-03-27,0.472765,79702925,788113,303
toshi,toshi,Toshi,2026-03-27,0.00018865,79362981,7115338,304
new-x-ceo-is-back,xfloki,NEW X CEO IS BACK,2026-03-27,0.077006,79152598,758602,305
mimblewimblecoin,mwc,MimbleWimbleCoin,2026-03-27,7.0,78940892,55718,301
sahara-ai,sahara,Sahara AI,2026-03-27,0.02510892,78884826,19754538,306
debridge,dbr,deBridge,2026-03-27,0.01659187,78341139,5141960,307
creditcoin-2,ctc,Creditcoin,2026-03-27,0.145612,77271282,3919543,308
meteora,met,Meteora,2026-03-27,0.149369,76735593,30751801,309
dydx-chain,dydx,dYdX,2026-03-27,0.09204,76375646,17835983,310
helio-protocol-hay,lisusd,Lista USD,2026-03-27,0.998635,76222571,26353,311
zilliqa,zil,Zilliqa,2026-03-27,0.0038049,75944463,68269792,312
exod,exod,EXOD,2026-03-27,7.2,75211200,0.0,313
verge,xvg,Verge,2026-03-27,0.00454585,75105593,2203905,314
felix-feusd,feusd,Felix feUSD,2026-03-27,0.998587,74899165,479274,317
cygnus-finance-global-usd,cgusd,Cygnus Finance Global USD,2026-03-27,0.995979,74892996,11.48,315
coinex-token,cet,CoinEx,2026-03-27,0.02951625,74842636,54270,316
kusama,ksm,Kusama,2026-03-27,4.14,74463724,6838417,318
ravedao,rave,RaveDAO,2026-03-27,0.311771,74374919,5814268,319
temple,temple,TempleDAO,2026-03-27,3.12,73922559,22636,320
affine,sn120,affine,2026-03-27,27.07,73884758,2338209,321
holotoken,hot,Holo,2026-03-27,0.00041589,73857458,3712666,322
linea,linea,Linea,2026-03-27,0.00295371,73780621,20841278,324
dog-go-to-the-moon-rune,dog,Dog (Bitcoin),2026-03-27,0.00073704,73703641,755612,323
kamino,kmno,Kamino,2026-03-27,0.01736633,73701608,3262154,325
audiera,beat,Audiera,2026-03-27,0.522298,72897587,18280465,326
digibyte,dgb,DigiByte,2026-03-27,0.00399664,72785703,2081871,327
luxxcoin,lux,Luxxcoin,2026-03-27,0.00072337,72512924,334497,328
unibase,ub,Unibase,2026-03-27,0.02881306,72032648,18900187,332
ethgas-2,gwei,ETHGas,2026-03-27,0.04093145,71792600,4771965,329
keeta,kta,Keeta,2026-03-27,0.139625,71611449,1687233,330
gamer-tag,gmrt,The Game Company,2026-03-27,0.201081,71474504,2069.75,334
aioz-network,aioz,AIOZ Network,2026-03-27,0.057618,71466377,2618042,331
nexpace,nxpc,Nexpace,2026-03-27,0.275148,71463265,4569688,333
matrixdock-gold,xaum,Matrixdock Gold,2026-03-27,4496.55,71254999,211721,335
coredaoorg,core,Core,2026-03-27,0.065657,70669635,3696888,336
superfarm,super,SuperVerse,2026-03-27,0.110608,70376629,23960407,337
safe,safe,Safe,2026-03-27,0.098149,70076341,1960856,338
turbo,turbo,Turbo,2026-03-27,0.00100609,69419493,8984849,339
baby-doge-coin,babydoge,Baby Doge Coin,2026-03-27,3.80287e-10,68561739,3200142,341
mindwavedao,nila,MindWaveDAO,2026-03-27,0.081152,68392444,106864,342
meta-2-2,meta,MetaDAO,2026-03-27,3.01,68186733,564103,340
mina-protocol,mina,Mina Protocol,2026-03-27,0.053155,68024783,3855952,343
apxusd,apxusd,apxUSD,2026-03-27,1.0,67976243,1115532,345
usdgo,usdgo,USDGO,2026-03-27,0.999738,67974116,2170523,344
threshold-network-token,t,Threshold Network,2026-03-27,0.00607492,67795558,2565281,346
bitcastle-token,bce,bitcastle Token,2026-03-27,0.168543,67506121,103457,347
bc-token,bc,BCGame Coin,2026-03-27,0.00672442,67258122,13822.0,348
mbg-by-multibank-group,mbg,MBG By Multibank Group,2026-03-27,0.36243,67078955,6678053,349
gmx,gmx,GMX,2026-03-27,6.46,66988667,7301913,350
nervos-network,ckb,Nervos Network,2026-03-27,0.00137324,66572160,3628705,351
puff-the-dragon,puff,Puff The Dragon,2026-03-27,0.074559,66350978,23451,352
fogo,fogo,Fogo,2026-03-27,0.01747566,66343110,6225821,354
dola-usd,dola,DOLA,2026-03-27,0.991935,66335619,303853,353
ronin,ron,Ronin,2026-03-27,0.086215,66279697,5988953,355
zora,zora,Zora,2026-03-27,0.01481205,66203851,5626859,357
proton,xpr,XPR Network,2026-03-27,0.00231066,66194983,839298,356
zetachain,zeta,ZetaChain,2026-03-27,0.050145,65798621,4675299,358
babyboomtoken,bbt,BabyBoomToken,2026-03-27,0.381394,65490734,285282,359
home,home,HOME,2026-03-27,0.01890257,65014824,3078661,360
